parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom
t01_16,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t01_17,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t01_18,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t01_19,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t01_20,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t01_21,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t01_22,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t01_23,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t01_24,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t01_25,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t01_26,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t01_27,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t01_28,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t01_29,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t02_00,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t02_01,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t02_02,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t02_03,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t02_04,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t02_05,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t02_06,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t02_07,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t02_08,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t02_09,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t02_10,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t02_11,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t02_12,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t02_13,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t02_14,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t02_15,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t02_16,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t02_17,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t02_18,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t02_19,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t02_20,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t02_21,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t02_22,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t02_23,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t02_24,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t02_25,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t02_26,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t02_27,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t02_28,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t02_29,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t03_00,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t03_01,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t03_02,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t03_03,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t03_04,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t03_05,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t03_06,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t03_07,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t03_08,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t03_09,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t03_10,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t03_11,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t03_12,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t03_13,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t03_14,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t03_15,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t03_16,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t03_17,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t03_18,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t03_19,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t03_20,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t03_21,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t03_22,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t03_23,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t03_24,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t03_25,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t03_26,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t03_27,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t03_28,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t03_29,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t04_00,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t04_01,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t04_02,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t04_03,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t04_04,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t04_05,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t04_06,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t04_07,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t04_08,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t04_09,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t04_10,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t04_11,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t04_12,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t04_13,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t04_14,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t04_15,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t04_16,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t04_17,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t04_18,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t04_19,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t04_20,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t04_21,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t04_22,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t04_23,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t04_24,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t04_25,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t04_26,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t04_27,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t04_28,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t04_29,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t05_00,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t05_01,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t05_02,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t05_03,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t05_04,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t05_05,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t05_06,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t05_07,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t05_08,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t05_09,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t05_10,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t05_11,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t05_12,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t05_13,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t05_14,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t05_15,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t05_16,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t05_17,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t05_18,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t05_19,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t05_20,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t05_21,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t05_22,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t05_23,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t05_24,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t05_25,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t05_26,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t05_27,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t05_28,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t05_29,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t06_00,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t06_01,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t06_02,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t06_03,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t06_04,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t06_05,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t06_06,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t06_07,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t06_08,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t06_09,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t06_10,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t06_11,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t06_12,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t06_13,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t06_14,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t06_15,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t06_16,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t06_17,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t06_18,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t06_19,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t06_20,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t06_21,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t06_22,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t06_23,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t06_24,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t06_25,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t06_26,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t06_27,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t06_28,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t06_29,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t07_00,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t07_01,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t07_02,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t07_03,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t07_04,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t07_05,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t07_06,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t07_07,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t07_08,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t07_09,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t07_10,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t07_11,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t07_12,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t07_13,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t07_14,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t07_15,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t07_16,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t07_17,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t07_18,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t07_19,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t07_20,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t07_21,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t07_22,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t07_23,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t07_24,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t07_25,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t07_26,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t07_27,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t07_28,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t07_29,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t08_00,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t08_01,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t08_02,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t08_03,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t08_04,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t08_05,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t08_06,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t08_07,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t08_08,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t08_09,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t08_10,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t08_11,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t08_12,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t08_13,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t08_14,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t08_15,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t08_16,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t08_17,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t08_18,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t08_19,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t08_20,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t08_21,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t08_22,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t08_23,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t08_24,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t08_25,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t08_26,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t08_27,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t08_28,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t08_29,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t09_00,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t09_01,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t09_02,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t09_03,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t09_04,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t09_05,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t09_06,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t09_07,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t09_08,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t09_09,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t09_10,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t09_11,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t09_12,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t09_13,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t09_14,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t09_15,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t09_16,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t09_17,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t09_18,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t09_19,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t09_20,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t09_21,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t09_22,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t09_23,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t09_24,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t09_25,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t09_26,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t09_27,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t09_28,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t09_29,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t10_00,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t10_01,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t10_02,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t10_03,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t10_04,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t10_05,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t10_06,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t10_07,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t10_08,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t10_09,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t10_10,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t10_11,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t10_12,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t10_13,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t10_14,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t10_15,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t10_16,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t10_17,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t10_18,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t10_19,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t10_20,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t10_21,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t10_22,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t10_23,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t10_24,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t10_25,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t10_26,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t10_27,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t10_28,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t10_29,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t11_00,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t11_01,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t11_02,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t11_03,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t11_04,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t11_05,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t11_06,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t11_07,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t11_08,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t11_09,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t11_10,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t11_11,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t11_12,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t11_13,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t11_14,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t11_15,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t11_16,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t11_17,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t11_18,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t11_19,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t11_20,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t11_21,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
