pilbl,equation,weight,obgnme,names
pi_const10,1.0 * w000_08 + 1.0 * w000_09 + 1.0 * w001_08 + 1.0 * w001_09 + 1.0 * w002_08 + 1.0 * w002_09 + 1.0 * w003_08 + 1.0 * w003_09 = 100000.0,1.0,greater_pi,"['w000_08', 'w000_09', 'w001_08', 'w001_09', 'w002_08', 'w002_09', 'w003_08', 'w003_09']"
pi_const11,1.0 * w000_10 + 1.0 * w000_11 + 1.0 * w001_10 + 1.0 * w001_11 + 1.0 * w002_10 + 1.0 * w002_11 + 1.0 * w003_10 + 1.0 * w003_11 = 213333.3333333333,1.0,less_pi,"['w000_10', 'w000_11', 'w001_10', 'w001_11', 'w002_10', 'w002_11', 'w003_10', 'w003_11']"
pi_const12,1.0 * w000_10 + 1.0 * w000_11 + 1.0 * w001_10 + 1.0 * w001_11 + 1.0 * w002_10 + 1.0 * w002_11 + 1.0 * w003_10 + 1.0 * w003_11 = 66666.66666666666,1.0,greater_pi,"['w000_10', 'w000_11', 'w001_10', 'w001_11', 'w002_10', 'w002_11', 'w003_10', 'w003_11']"
pi_const13,1.0 * w000_12 + 1.0 * w000_13 + 1.0 * w001_12 + 1.0 * w001_13 + 1.0 * w002_12 + 1.0 * w002_13 + 1.0 * w003_12 + 1.0 * w003_13 = 320000.0,1.0,less_pi,"['w000_12', 'w000_13', 'w001_12', 'w001_13', 'w002_12', 'w002_13', 'w003_12', 'w003_13']"
pi_const14,1.0 * w000_12 + 1.0 * w000_13 + 1.0 * w001_12 + 1.0 * w001_13 + 1.0 * w002_12 + 1.0 * w002_13 + 1.0 * w003_12 + 1.0 * w003_13 = 100000.0,1.0,greater_pi,"['w000_12', 'w000_13', 'w001_12', 'w001_13', 'w002_12', 'w002_13', 'w003_12', 'w003_13']"
pi_const15,1.0 * w000_14 + 1.0 * w000_15 + 1.0 * w001_14 + 1.0 * w001_15 + 1.0 * w002_14 + 1.0 * w002_15 + 1.0 * w003_14 + 1.0 * w003_15 = 213333.3333333333,1.0,less_pi,"['w000_14', 'w000_15', 'w001_14', 'w001_15', 'w002_14', 'w002_15', 'w003_14', 'w003_15']"
pi_const16,1.0 * w000_14 + 1.0 * w000_15 + 1.0 * w001_14 + 1.0 * w001_15 + 1.0 * w002_14 + 1.0 * w002_15 + 1.0 * w003_14 + 1.0 * w003_15 = 66666.66666666666,1.0,greater_pi,"['w000_14', 'w000_15', 'w001_14', 'w001_15', 'w002_14', 'w002_15', 'w003_14', 'w003_15']"
pi_const17,1.0 * w000_16 + 1.0 * w000_17 + 1.0 * w001_16 + 1.0 * w001_17 + 1.0 * w002_16 + 1.0 * w002_17 + 1.0 * w003_16 + 1.0 * w003_17 + 1.0 * im9 = 240000.0,1.0,less_pi,"['w000_16', 'w000_17', 'w001_16', 'w001_17', 'w002_16', 'w002_17', 'w003_16', 'w003_17', 'im9']"
pi_const18,1.0 * w000_16 + 1.0 * w000_17 + 1.0 * w001_16 + 1.0 * w001_17 + 1.0 * w002_16 + 1.0 * w002_17 + 1.0 * w003_16 + 1.0 * w003_17 + 1.0 * im9 = 135000.0,1.0,greater_pi,"['w000_16', 'w000_17', 'w001_16', 'w001_17', 'w002_16', 'w002_17', 'w003_16', 'w003_17', 'im9']"
pi_const19,1.0 * w000_18 + 1.0 * w000_19 + 1.0 * w001_18 + 1.0 * w001_19 + 1.0 * w002_18 + 1.0 * w002_19 + 1.0 * w003_18 + 1.0 * w003_19 + 1.0 * im10 = 180000.0,1.0,less_pi,"['w000_18', 'w000_19', 'w001_18', 'w001_19', 'w002_18', 'w002_19', 'w003_18', 'w003_19', 'im10']"
pi_const20,1.0 * w000_18 + 1.0 * w000_19 + 1.0 * w001_18 + 1.0 * w001_19 + 1.0 * w002_18 + 1.0 * w002_19 + 1.0 * w003_18 + 1.0 * w003_19 + 1.0 * im10 = 101250.0,1.0,greater_pi,"['w000_18', 'w000_19', 'w001_18', 'w001_19', 'w002_18', 'w002_19', 'w003_18', 'w003_19', 'im10']"
pi_const21,1.0 * w000_20 + 1.0 * w000_21 + 1.0 * w001_20 + 1.0 * w001_21 + 1.0 * w002_20 + 1.0 * w002_21 + 1.0 * w003_20 + 1.0 * w003_21 + 1.0 * im11 = 240000.0,1.0,less_pi,"['w000_20', 'w000_21', 'w001_20', 'w001_21', 'w002_20', 'w002_21', 'w003_20', 'w003_21', 'im11']"
pi_const22,1.0 * w000_20 + 1.0 * w000_21 + 1.0 * w001_20 + 1.0 * w001_21 + 1.0 * w002_20 + 1.0 * w002_21 + 1.0 * w003_20 + 1.0 * w003_21 + 1.0 * im11 = 135000.0,1.0,greater_pi,"['w000_20', 'w000_21', 'w001_20', 'w001_21', 'w002_20', 'w002_21', 'w003_20', 'w003_21', 'im11']"
pi_const23,1.0 * w000_22 + 1.0 * w000_23 + 1.0 * w001_22 + 1.0 * w001_23 + 1.0 * w002_22 + 1.0 * w002_23 + 1.0 * w003_22 + 1.0 * w003_23 + 1.0 * im12 = 180000.0,1.0,less_pi,"['w000_22', 'w000_23', 'w001_22', 'w001_23', 'w002_22', 'w002_23', 'w003_22', 'w003_23', 'im12']"
pi_const24,1.0 * w000_22 + 1.0 * w000_23 + 1.0 * w001_22 + 1.0 * w001_23 + 1.0 * w002_22 + 1.0 * w002_23 + 1.0 * w003_22 + 1.0 * w003_23 + 1.0 * im12 = 101250.0,1.0,greater_pi,"['w000_22', 'w000_23', 'w001_22', 'w001_23', 'w002_22', 'w002_23', 'w003_22', 'w003_23', 'im12']"
