obsnme,obsval,weight,obgnme
h01_03_13,0.0,1.0,head
h01_03_14,0.0,1.0,head
h01_03_15,0.0,1.0,head
h01_03_16,0.0,1.0,head
h01_03_17,0.0,1.0,head
h01_03_18,0.0,1.0,head
h01_03_19,0.0,1.0,head
h01_03_20,0.0,1.0,head
h01_03_21,0.0,1.0,head
h01_03_22,0.0,1.0,head
h01_03_23,0.0,1.0,head
h01_04_00,0.0,1.0,head
h01_04_01,0.0,1.0,head
h01_04_02,0.0,1.0,head
h01_04_03,0.0,1.0,head
h01_04_04,0.0,1.0,head
h01_04_05,0.0,1.0,head
h01_04_06,0.0,1.0,head
h01_04_07,0.0,1.0,head
h01_04_08,0.0,1.0,head
h01_04_09,0.0,1.0,head
h01_04_10,0.0,1.0,head
h01_04_11,0.0,1.0,head
h01_04_12,0.0,1.0,head
h01_04_13,0.0,1.0,head
h01_04_14,0.0,1.0,head
h01_04_15,0.0,1.0,head
h01_04_16,0.0,1.0,head
h01_04_17,0.0,1.0,head
h01_04_18,0.0,1.0,head
h01_04_19,0.0,1.0,head
h01_04_20,0.0,1.0,head
h01_04_21,0.0,1.0,head
h01_04_22,0.0,1.0,head
h01_04_23,0.0,1.0,head
h01_05_00,0.0,1.0,head
h01_05_01,0.0,1.0,head
h01_05_02,0.0,1.0,head
h01_05_03,0.0,1.0,head
h01_05_04,0.0,1.0,head
h01_05_05,0.0,1.0,head
h01_05_06,0.0,1.0,head
h01_05_07,0.0,1.0,head
h01_05_08,0.0,1.0,head
h01_05_09,0.0,1.0,head
h01_05_10,0.0,1.0,head
h01_05_11,0.0,1.0,head
h01_05_12,0.0,1.0,head
h01_05_13,0.0,1.0,head
h01_05_14,0.0,1.0,head
h01_05_15,0.0,1.0,head
h01_05_16,0.0,1.0,head
h01_05_17,0.0,1.0,head
h01_05_18,0.0,1.0,head
h01_05_19,0.0,1.0,head
h01_05_20,0.0,1.0,head
h01_05_21,0.0,1.0,head
h01_05_22,0.0,1.0,head
h01_05_23,0.0,1.0,head
h01_06_00,0.0,1.0,head
h01_06_01,0.0,1.0,head
h01_06_02,0.0,1.0,head
h01_06_03,0.0,1.0,head
h01_06_04,0.0,1.0,head
h01_06_05,0.0,1.0,head
h01_06_06,0.0,1.0,head
h01_06_07,0.0,1.0,head
h01_06_08,0.0,1.0,head
h01_06_09,0.0,1.0,head
h01_06_10,0.0,1.0,head
h01_06_11,0.0,1.0,head
h01_06_12,0.0,1.0,head
h01_06_13,0.0,1.0,head
h01_06_14,0.0,1.0,head
h01_06_15,0.0,1.0,head
h01_06_16,0.0,1.0,head
h01_06_17,0.0,1.0,head
h01_06_18,0.0,1.0,head
h01_06_19,0.0,1.0,head
h01_06_20,0.0,1.0,head
h01_06_21,0.0,1.0,head
h01_06_22,0.0,1.0,head
h01_06_23,0.0,1.0,head
h01_07_00,0.0,1.0,head
h01_07_01,0.0,1.0,head
h01_07_02,0.0,1.0,head
h01_07_03,0.0,1.0,head
h01_07_04,0.0,1.0,head
h01_07_05,0.0,1.0,head
h01_07_06,0.0,1.0,head
h01_07_07,0.0,1.0,head
h01_07_08,0.0,1.0,head
h01_07_09,0.0,1.0,head
h01_07_10,0.0,1.0,head
h01_07_11,0.0,1.0,head
h01_07_12,0.0,1.0,head
h01_07_13,0.0,1.0,head
h01_07_14,0.0,1.0,head
h01_07_15,0.0,1.0,head
h01_07_16,0.0,1.0,head
h01_07_17,0.0,1.0,head
h01_07_18,0.0,1.0,head
h01_07_19,0.0,1.0,head
h01_07_20,0.0,1.0,head
h01_07_21,0.0,1.0,head
h01_07_22,0.0,1.0,head
h01_07_23,0.0,1.0,head
h01_08_00,0.0,1.0,head
h01_08_01,0.0,1.0,head
h01_08_02,0.0,1.0,head
h01_08_03,0.0,1.0,head
h01_08_04,0.0,1.0,head
h01_08_05,0.0,1.0,head
h01_08_06,0.0,1.0,head
h01_08_07,0.0,1.0,head
h01_08_08,0.0,1.0,head
h01_08_09,0.0,1.0,head
h01_08_10,0.0,1.0,head
h01_08_11,0.0,1.0,head
h01_08_12,0.0,1.0,head
h01_08_13,0.0,1.0,head
h01_08_14,0.0,1.0,head
h01_08_15,0.0,1.0,head
h01_08_16,0.0,1.0,head
h01_08_17,0.0,1.0,head
h01_08_18,0.0,1.0,head
h01_08_19,0.0,1.0,head
h01_08_20,0.0,1.0,head
h01_08_21,0.0,1.0,head
h01_08_22,0.0,1.0,head
h01_08_23,0.0,1.0,head
h01_09_00,0.0,1.0,head
h01_09_01,0.0,1.0,head
h01_09_02,0.0,1.0,head
h01_09_03,0.0,1.0,head
h01_09_04,0.0,1.0,head
h01_09_05,0.0,1.0,head
h01_09_06,0.0,1.0,head
h01_09_07,0.0,1.0,head
h01_09_08,0.0,1.0,head
h01_09_09,0.0,1.0,head
h01_09_10,0.0,1.0,head
h01_09_11,0.0,1.0,head
h01_09_12,0.0,1.0,head
h01_09_13,0.0,1.0,head
h01_09_14,0.0,1.0,head
h01_09_15,0.0,1.0,head
h01_09_16,0.0,1.0,head
h01_09_17,0.0,1.0,head
h01_09_18,0.0,1.0,head
h01_09_19,0.0,1.0,head
h01_09_20,0.0,1.0,head
h01_09_21,0.0,1.0,head
h01_09_22,0.0,1.0,head
h01_09_23,0.0,1.0,head
h01_10_00,0.0,1.0,head
h01_10_01,0.0,1.0,head
h01_10_02,0.0,1.0,head
h01_10_03,0.0,1.0,head
h01_10_04,0.0,1.0,head
h01_10_05,0.0,1.0,head
h01_10_06,0.0,1.0,head
h01_10_07,0.0,1.0,head
h01_10_08,0.0,1.0,head
h01_10_09,0.0,1.0,head
h01_10_10,0.0,1.0,head
h01_10_11,0.0,1.0,head
h01_10_12,0.0,1.0,head
h01_10_13,0.0,1.0,head
h01_10_14,0.0,1.0,head
h01_10_15,0.0,1.0,head
h01_10_16,0.0,1.0,head
h01_10_17,0.0,1.0,head
h01_10_18,0.0,1.0,head
h01_10_19,0.0,1.0,head
h01_10_20,0.0,1.0,head
h01_10_21,0.0,1.0,head
h01_10_22,0.0,1.0,head
h01_10_23,0.0,1.0,head
h01_11_00,0.0,1.0,head
h01_11_01,0.0,1.0,head
h01_11_02,0.0,1.0,head
h01_11_03,0.0,1.0,head
h01_11_04,0.0,1.0,head
h01_11_05,0.0,1.0,head
h01_11_06,0.0,1.0,head
h01_11_07,0.0,1.0,head
h01_11_08,0.0,1.0,head
h01_11_09,0.0,1.0,head
h01_11_10,0.0,1.0,head
h01_11_11,0.0,1.0,head
h01_11_12,0.0,1.0,head
h01_11_13,0.0,1.0,head
h01_11_14,0.0,1.0,head
h01_11_15,0.0,1.0,head
h01_11_16,0.0,1.0,head
h01_11_17,0.0,1.0,head
h01_11_18,0.0,1.0,head
h01_11_19,0.0,1.0,head
h01_11_20,0.0,1.0,head
h01_11_21,0.0,1.0,head
h01_11_22,0.0,1.0,head
h01_11_23,0.0,1.0,head
h01_12_00,0.0,1.0,head
h01_12_01,0.0,1.0,head
h01_12_02,0.0,1.0,head
h01_12_03,0.0,1.0,head
h01_12_04,0.0,1.0,head
h01_12_05,0.0,1.0,head
h01_12_06,0.0,1.0,head
h01_12_07,0.0,1.0,head
h01_12_08,0.0,1.0,head
h01_12_09,0.0,1.0,head
h01_12_10,0.0,1.0,head
h01_12_11,0.0,1.0,head
h01_12_12,0.0,1.0,head
h01_12_13,0.0,1.0,head
h01_12_14,0.0,1.0,head
h01_12_15,0.0,1.0,head
h01_12_16,0.0,1.0,head
h01_12_17,0.0,1.0,head
h01_12_18,0.0,1.0,head
h01_12_19,0.0,1.0,head
h01_12_20,0.0,1.0,head
h01_12_21,0.0,1.0,head
h01_12_22,0.0,1.0,head
h01_12_23,0.0,1.0,head
h01_13_00,0.0,1.0,head
h01_13_01,0.0,1.0,head
h01_13_02,0.0,1.0,head
h01_13_03,0.0,1.0,head
h01_13_04,0.0,1.0,head
h01_13_05,0.0,1.0,head
h01_13_06,0.0,1.0,head
h01_13_07,0.0,1.0,head
h01_13_08,0.0,1.0,head
h01_13_09,0.0,1.0,head
h01_13_10,0.0,1.0,head
h01_13_11,0.0,1.0,head
h01_13_12,0.0,1.0,head
h01_13_13,0.0,1.0,head
h01_13_14,0.0,1.0,head
h01_13_15,0.0,1.0,head
h01_13_16,0.0,1.0,head
h01_13_17,0.0,1.0,head
h01_13_18,0.0,1.0,head
h01_13_19,0.0,1.0,head
h01_13_20,0.0,1.0,head
h01_13_21,0.0,1.0,head
h01_13_22,0.0,1.0,head
h01_13_23,0.0,1.0,head
h01_14_00,0.0,1.0,head
h01_14_01,0.0,1.0,head
h01_14_02,0.0,1.0,head
h01_14_03,0.0,1.0,head
h01_14_04,0.0,1.0,head
h01_14_05,0.0,1.0,head
h01_14_06,0.0,1.0,head
h01_14_07,0.0,1.0,head
h01_14_08,0.0,1.0,head
h01_14_09,0.0,1.0,head
h01_14_10,0.0,1.0,head
h01_14_11,0.0,1.0,head
h01_14_12,0.0,1.0,head
h01_14_13,0.0,1.0,head
h01_14_14,0.0,1.0,head
h01_14_15,0.0,1.0,head
h01_14_16,0.0,1.0,head
h01_14_17,0.0,1.0,head
h01_14_18,0.0,1.0,head
h01_14_19,0.0,1.0,head
h01_14_20,0.0,1.0,head
h01_14_21,0.0,1.0,head
h01_14_22,0.0,1.0,head
h01_14_23,0.0,1.0,head
h01_15_00,0.0,1.0,head
h01_15_01,0.0,1.0,head
h01_15_02,0.0,1.0,head
h01_15_03,0.0,1.0,head
h01_15_04,0.0,1.0,head
h01_15_05,0.0,1.0,head
h01_15_06,0.0,1.0,head
h01_15_07,0.0,1.0,head
h01_15_08,0.0,1.0,head
h01_15_09,0.0,1.0,head
h01_15_10,0.0,1.0,head
h01_15_11,0.0,1.0,head
h01_15_12,0.0,1.0,head
h01_15_13,0.0,1.0,head
h01_15_14,0.0,1.0,head
h01_15_15,0.0,1.0,head
h01_15_16,0.0,1.0,head
h01_15_17,0.0,1.0,head
h01_15_18,0.0,1.0,head
h01_15_19,0.0,1.0,head
h01_15_20,0.0,1.0,head
h01_15_21,0.0,1.0,head
h01_15_22,0.0,1.0,head
h01_15_23,0.0,1.0,head
h01_16_00,0.0,1.0,head
h01_16_01,0.0,1.0,head
h01_16_02,0.0,1.0,head
h01_16_03,0.0,1.0,head
h01_16_04,0.0,1.0,head
h01_16_05,0.0,1.0,head
h01_16_06,0.0,1.0,head
h01_16_07,0.0,1.0,head
h01_16_08,0.0,1.0,head
h01_16_09,0.0,1.0,head
h01_16_10,0.0,1.0,head
h01_16_11,0.0,1.0,head
h01_16_12,0.0,1.0,head
h01_16_13,0.0,1.0,head
h01_16_14,0.0,1.0,head
h01_16_15,0.0,1.0,head
h01_16_16,0.0,1.0,head
h01_16_17,0.0,1.0,head
h01_16_18,0.0,1.0,head
h01_16_19,0.0,1.0,head
h01_16_20,0.0,1.0,head
h01_16_21,0.0,1.0,head
h01_16_22,0.0,1.0,head
h01_16_23,0.0,1.0,head
h01_17_00,0.0,1.0,head
h01_17_01,0.0,1.0,head
h01_17_02,0.0,1.0,head
h01_17_03,0.0,1.0,head
h01_17_04,0.0,1.0,head
h01_17_05,0.0,1.0,head
h01_17_06,0.0,1.0,head
h01_17_07,0.0,1.0,head
h01_17_08,0.0,1.0,head
h01_17_09,0.0,1.0,head
h01_17_10,0.0,1.0,head
h01_17_11,0.0,1.0,head
h01_17_12,0.0,1.0,head
h01_17_13,0.0,1.0,head
h01_17_14,0.0,1.0,head
h01_17_15,0.0,1.0,head
h01_17_16,0.0,1.0,head
h01_17_17,0.0,1.0,head
h01_17_18,0.0,1.0,head
h01_17_19,0.0,1.0,head
h01_17_20,0.0,1.0,head
h01_17_21,0.0,1.0,head
h01_17_22,0.0,1.0,head
h01_17_23,0.0,1.0,head
h01_18_00,0.0,1.0,head
h01_18_01,0.0,1.0,head
h01_18_02,0.0,1.0,head
h01_18_03,0.0,1.0,head
h01_18_04,0.0,1.0,head
h01_18_05,0.0,1.0,head
h01_18_06,0.0,1.0,head
h01_18_07,0.0,1.0,head
h01_18_08,0.0,1.0,head
h01_18_09,0.0,1.0,head
h01_18_10,0.0,1.0,head
h01_18_11,0.0,1.0,head
h01_18_12,0.0,1.0,head
h01_18_13,0.0,1.0,head
h01_18_14,0.0,1.0,head
h01_18_15,0.0,1.0,head
h01_18_16,0.0,1.0,head
h01_18_17,0.0,1.0,head
h01_18_18,0.0,1.0,head
h01_18_19,0.0,1.0,head
h01_18_20,0.0,1.0,head
h01_18_21,0.0,1.0,head
h01_18_22,0.0,1.0,head
h01_18_23,0.0,1.0,head
h01_19_00,0.0,1.0,head
h01_19_01,0.0,1.0,head
h01_19_02,0.0,1.0,head
h01_19_03,0.0,1.0,head
h01_19_04,0.0,1.0,head
h01_19_05,0.0,1.0,head
h01_19_06,0.0,1.0,head
h01_19_07,0.0,1.0,head
h01_19_08,0.0,1.0,head
h01_19_09,0.0,1.0,head
h01_19_10,0.0,1.0,head
h01_19_11,0.0,1.0,head
h01_19_12,0.0,1.0,head
h01_19_13,0.0,1.0,head
h01_19_14,0.0,1.0,head
h01_19_15,0.0,1.0,head
h01_19_16,0.0,1.0,head
h01_19_17,0.0,1.0,head
h01_19_18,0.0,1.0,head
h01_19_19,0.0,1.0,head
h01_19_20,0.0,1.0,head
h01_19_21,0.0,1.0,head
h01_19_22,0.0,1.0,head
h01_19_23,0.0,1.0,head
h01_20_00,0.0,1.0,head
h01_20_01,0.0,1.0,head
h01_20_02,0.0,1.0,head
h01_20_03,0.0,1.0,head
h01_20_04,0.0,1.0,head
h01_20_05,0.0,1.0,head
h01_20_06,0.0,1.0,head
h01_20_07,0.0,1.0,head
h01_20_08,0.0,1.0,head
h01_20_09,0.0,1.0,head
h01_20_10,0.0,1.0,head
h01_20_11,0.0,1.0,head
h01_20_12,0.0,1.0,head
h01_20_13,0.0,1.0,head
h01_20_14,0.0,1.0,head
h01_20_15,0.0,1.0,head
h01_20_16,0.0,1.0,head
h01_20_17,0.0,1.0,head
h01_20_18,0.0,1.0,head
h01_20_19,0.0,1.0,head
h01_20_20,0.0,1.0,head
h01_20_21,0.0,1.0,head
h01_20_22,0.0,1.0,head
h01_20_23,0.0,1.0,head
h01_21_00,0.0,1.0,head
h01_21_01,0.0,1.0,head
h01_21_02,0.0,1.0,head
h01_21_03,0.0,1.0,head
h01_21_04,0.0,1.0,head
h01_21_05,0.0,1.0,head
h01_21_06,0.0,1.0,head
h01_21_07,0.0,1.0,head
h01_21_08,0.0,1.0,head
h01_21_09,0.0,1.0,head
h01_21_10,0.0,1.0,head
h01_21_11,0.0,1.0,head
h01_21_12,0.0,1.0,head
h01_21_13,0.0,1.0,head
h01_21_14,0.0,1.0,head
h01_21_15,0.0,1.0,head
h01_21_16,0.0,1.0,head
h01_21_17,0.0,1.0,head
h01_21_18,0.0,1.0,head
h01_21_19,0.0,1.0,head
h01_21_20,0.0,1.0,head
h01_21_21,0.0,1.0,head
h01_21_22,0.0,1.0,head
h01_21_23,0.0,1.0,head
h01_22_00,0.0,1.0,head
h01_22_01,0.0,1.0,head
h01_22_02,0.0,1.0,head
h01_22_03,0.0,1.0,head
h01_22_04,0.0,1.0,head
h01_22_05,0.0,1.0,head
h01_22_06,0.0,1.0,head
h01_22_07,0.0,1.0,head
h01_22_08,0.0,1.0,head
h01_22_09,0.0,1.0,head
h01_22_10,0.0,1.0,head
h01_22_11,0.0,1.0,head
h01_22_12,0.0,1.0,head
h01_22_13,0.0,1.0,head
h01_22_14,0.0,1.0,head
h01_22_15,0.0,1.0,head
h01_22_16,0.0,1.0,head
h01_22_17,0.0,1.0,head
h01_22_18,0.0,1.0,head
h01_22_19,0.0,1.0,head
h01_22_20,0.0,1.0,head
h01_22_21,0.0,1.0,head
h01_22_22,0.0,1.0,head
h01_22_23,0.0,1.0,head
h01_23_00,0.0,1.0,head
h01_23_01,0.0,1.0,head
h01_23_02,0.0,1.0,head
h01_23_03,0.0,1.0,head
h01_23_04,0.0,1.0,head
h01_23_05,0.0,1.0,head
h01_23_06,0.0,1.0,head
h01_23_07,0.0,1.0,head
h01_23_08,0.0,1.0,head
h01_23_09,0.0,1.0,head
h01_23_10,0.0,1.0,head
h01_23_11,0.0,1.0,head
h01_23_12,0.0,1.0,head
h01_23_13,0.0,1.0,head
h01_23_14,0.0,1.0,head
h01_23_15,0.0,1.0,head
h01_23_16,0.0,1.0,head
h01_23_17,0.0,1.0,head
h01_23_18,0.0,1.0,head
h01_23_19,0.0,1.0,head
h01_23_20,0.0,1.0,head
h01_23_21,0.0,1.0,head
h01_23_22,0.0,1.0,head
h01_23_23,0.0,1.0,head
h01_24_00,0.0,1.0,head
h01_24_01,0.0,1.0,head
h01_24_02,0.0,1.0,head
h01_24_03,0.0,1.0,head
h01_24_04,0.0,1.0,head
h01_24_05,0.0,1.0,head
h01_24_06,0.0,1.0,head
h01_24_07,0.0,1.0,head
h01_24_08,0.0,1.0,head
h01_24_09,0.0,1.0,head
h01_24_10,0.0,1.0,head
h01_24_11,0.0,1.0,head
h01_24_12,0.0,1.0,head
h01_24_13,0.0,1.0,head
h01_24_14,0.0,1.0,head
h01_24_15,0.0,1.0,head
h01_24_16,0.0,1.0,head
h01_24_17,0.0,1.0,head
h01_24_18,0.0,1.0,head
h01_24_19,0.0,1.0,head
h01_24_20,0.0,1.0,head
h01_24_21,0.0,1.0,head
h01_24_22,0.0,1.0,head
h01_24_23,0.0,1.0,head
h01_25_00,0.0,1.0,head
h01_25_01,0.0,1.0,head
h01_25_02,0.0,1.0,head
h01_25_03,0.0,1.0,head
h01_25_04,0.0,1.0,head
h01_25_05,0.0,1.0,head
h01_25_06,0.0,1.0,head
h01_25_07,0.0,1.0,head
h01_25_08,0.0,1.0,head
h01_25_09,0.0,1.0,head
h01_25_10,0.0,1.0,head
h01_25_11,0.0,1.0,head
h01_25_12,0.0,1.0,head
h01_25_13,0.0,1.0,head
h01_25_14,0.0,1.0,head
h01_25_15,0.0,1.0,head
h01_25_16,0.0,1.0,head
h01_25_17,0.0,1.0,head
h01_25_18,0.0,1.0,head
h01_25_19,0.0,1.0,head
h01_25_20,0.0,1.0,head
h01_25_21,0.0,1.0,head
h01_25_22,0.0,1.0,head
h01_25_23,0.0,1.0,head
h01_26_00,0.0,1.0,head
h01_26_01,0.0,1.0,head
h01_26_02,0.0,1.0,head
h01_26_03,0.0,1.0,head
h01_26_04,0.0,1.0,head
h01_26_05,0.0,1.0,head
h01_26_06,0.0,1.0,head
h01_26_07,0.0,1.0,head
h01_26_08,0.0,1.0,head
h01_26_09,0.0,1.0,head
h01_26_10,0.0,1.0,head
h01_26_11,0.0,1.0,head
h01_26_12,0.0,1.0,head
h01_26_13,0.0,1.0,head
h01_26_14,0.0,1.0,head
h01_26_15,0.0,1.0,head
h01_26_16,0.0,1.0,head
h01_26_17,0.0,1.0,head
h01_26_18,0.0,1.0,head
h01_26_19,0.0,1.0,head
h01_26_20,0.0,1.0,head
h01_26_21,0.0,1.0,head
h01_26_22,0.0,1.0,head
h01_26_23,0.0,1.0,head
h01_27_00,0.0,1.0,head
h01_27_01,0.0,1.0,head
h01_27_02,0.0,1.0,head
h01_27_03,0.0,1.0,head
h01_27_04,0.0,1.0,head
h01_27_05,0.0,1.0,head
h01_27_06,0.0,1.0,head
h01_27_07,0.0,1.0,head
h01_27_08,0.0,1.0,head
h01_27_09,0.0,1.0,head
h01_27_10,0.0,1.0,head
h01_27_11,0.0,1.0,head
h01_27_12,0.0,1.0,head
h01_27_13,0.0,1.0,head
h01_27_14,0.0,1.0,head
h01_27_15,0.0,1.0,head
h01_27_16,0.0,1.0,head
h01_27_17,0.0,1.0,head
h01_27_18,0.0,1.0,head
h01_27_19,0.0,1.0,head
h01_27_20,0.0,1.0,head
h01_27_21,0.0,1.0,head
h01_27_22,0.0,1.0,head
h01_27_23,0.0,1.0,head
h01_28_00,0.0,1.0,head
h01_28_01,0.0,1.0,head
h01_28_02,0.0,1.0,head
h01_28_03,0.0,1.0,head
h01_28_04,0.0,1.0,head
h01_28_05,0.0,1.0,head
h01_28_06,0.0,1.0,head
h01_28_07,0.0,1.0,head
h01_28_08,0.0,1.0,head
h01_28_09,0.0,1.0,head
h01_28_10,0.0,1.0,head
h01_28_11,0.0,1.0,head
h01_28_12,0.0,1.0,head
h01_28_13,0.0,1.0,head
h01_28_14,0.0,1.0,head
h01_28_15,0.0,1.0,head
h01_28_16,0.0,1.0,head
h01_28_17,0.0,1.0,head
h01_28_18,0.0,1.0,head
h01_28_19,0.0,1.0,head
h01_28_20,0.0,1.0,head
h01_28_21,0.0,1.0,head
h01_28_22,0.0,1.0,head
h01_28_23,0.0,1.0,head
h01_29_00,0.0,1.0,head
h01_29_01,0.0,1.0,head
h01_29_02,0.0,1.0,head
h01_29_03,0.0,1.0,head
h01_29_04,0.0,1.0,head
h01_29_05,0.0,1.0,head
h01_29_06,0.0,1.0,head
h01_29_07,0.0,1.0,head
h01_29_08,0.0,1.0,head
h01_29_09,0.0,1.0,head
h01_29_10,0.0,1.0,head
h01_29_11,0.0,1.0,head
h01_29_12,0.0,1.0,head
h01_29_13,0.0,1.0,head
h01_29_14,0.0,1.0,head
h01_29_15,0.0,1.0,head
h01_29_16,0.0,1.0,head
h01_29_17,0.0,1.0,head
h01_29_18,0.0,1.0,head
h01_29_19,0.0,1.0,head
h01_29_20,0.0,1.0,head
h01_29_21,0.0,1.0,head
h01_29_22,0.0,1.0,head
h01_29_23,0.0,1.0,head
h02_00_00,0.0,1.0,head
h02_00_01,0.0,1.0,head
h02_00_02,0.0,1.0,head
h02_00_03,0.0,1.0,head
h02_00_04,0.0,1.0,head
h02_00_05,0.0,1.0,head
h02_00_06,0.0,1.0,head
h02_00_07,0.0,1.0,head
h02_00_08,0.0,1.0,head
h02_00_09,0.0,1.0,head
h02_00_10,0.0,1.0,head
h02_00_11,0.0,1.0,head
h02_00_12,0.0,1.0,head
h02_00_13,0.0,1.0,head
h02_00_14,0.0,1.0,head
h02_00_15,0.0,1.0,head
h02_00_16,0.0,1.0,head
h02_00_17,0.0,1.0,head
h02_00_18,0.0,1.0,head
h02_00_19,0.0,1.0,head
h02_00_20,0.0,1.0,head
h02_00_21,0.0,1.0,head
h02_00_22,0.0,1.0,head
h02_00_23,0.0,1.0,head
h02_01_00,0.0,1.0,head
h02_01_01,0.0,1.0,head
h02_01_02,0.0,1.0,head
h02_01_03,0.0,1.0,head
h02_01_04,0.0,1.0,head
h02_01_05,0.0,1.0,head
h02_01_06,0.0,1.0,head
h02_01_07,0.0,1.0,head
h02_01_08,0.0,1.0,head
h02_01_09,0.0,1.0,head
h02_01_10,0.0,1.0,head
h02_01_11,0.0,1.0,head
h02_01_12,0.0,1.0,head
h02_01_13,0.0,1.0,head
h02_01_14,0.0,1.0,head
h02_01_15,0.0,1.0,head
h02_01_16,0.0,1.0,head
h02_01_17,0.0,1.0,head
h02_01_18,0.0,1.0,head
h02_01_19,0.0,1.0,head
h02_01_20,0.0,1.0,head
h02_01_21,0.0,1.0,head
h02_01_22,0.0,1.0,head
h02_01_23,0.0,1.0,head
h02_02_00,0.0,1.0,head
h02_02_01,0.0,1.0,head
h02_02_02,0.0,1.0,head
h02_02_03,0.0,1.0,head
h02_02_04,0.0,1.0,head
h02_02_05,0.0,1.0,head
h02_02_06,0.0,1.0,head
h02_02_07,0.0,1.0,head
h02_02_08,0.0,1.0,head
h02_02_09,0.0,1.0,head
h02_02_10,0.0,1.0,head
h02_02_11,0.0,1.0,head
h02_02_12,0.0,1.0,head
h02_02_13,0.0,1.0,head
h02_02_14,0.0,1.0,head
h02_02_15,0.0,1.0,head
h02_02_16,0.0,1.0,head
h02_02_17,0.0,1.0,head
h02_02_18,0.0,1.0,head
h02_02_19,0.0,1.0,head
h02_02_20,0.0,1.0,head
h02_02_21,0.0,1.0,head
h02_02_22,0.0,1.0,head
h02_02_23,0.0,1.0,head
h02_03_00,0.0,1.0,head
h02_03_01,0.0,1.0,head
h02_03_02,0.0,1.0,head
h02_03_03,0.0,1.0,head
h02_03_04,0.0,1.0,head
h02_03_05,0.0,1.0,head
h02_03_06,0.0,1.0,head
h02_03_07,0.0,1.0,head
h02_03_08,0.0,1.0,head
h02_03_09,0.0,1.0,head
h02_03_10,0.0,1.0,head
h02_03_11,0.0,1.0,head
h02_03_12,0.0,1.0,head
h02_03_13,0.0,1.0,head
h02_03_14,0.0,1.0,head
h02_03_15,0.0,1.0,head
h02_03_16,0.0,1.0,head
h02_03_17,0.0,1.0,head
h02_03_18,0.0,1.0,head
h02_03_19,0.0,1.0,head
h02_03_20,0.0,1.0,head
h02_03_21,0.0,1.0,head
h02_03_22,0.0,1.0,head
h02_03_23,0.0,1.0,head
h02_04_00,0.0,1.0,head
